,Name,Play Number,QB Comment,Series,Down,Distance,Field Position,Gain,Personnel,The_Play,Formation,Motion,Play,Run Concept,Pass Concept,R/P,Pass Result,QB#,J#,EFF
733,"23 10 TNMS D @ NCCR 11-11-2023, Play 022",22,TOUCHDOWN,5,1,4,4,0,12,YAHOO TRAIN RT BILLY OX BEETLE STRAIGHT X-CRACK,TRAIN,YAHOO,LION OLY,BEETLE-SPIDER,HITCH-X,P,DROP,11,84,N
734,"23 10 TNMS D @ NCCR 11-11-2023, Play 023",23,TOUCHDOWN,5,2,4,4,1,13-F,DOT LT Z-PLANE LEECH Z-STREET CRACK,DOT,PLANE-Z,LION OLY,ROACH-LEECH,HITCH-X,R,C,11,26,N
735,"23 10 TNMS D @ NCCR 11-11-2023, Play 024",24,TOUCHDOWN,5,3,3,3,3,12,ZAC DEUCE LT SLOT LEECH DRACO,DEUCE,AC-Z,LION OLY,ROACH-LEECH,DRACO,R,C,11,26,Y
736,"23 10 TNMS D @ NCCR 11-11-2023, Play 025",25,TOUCHDOWN,6,0,10,-39,10,12,(P) FIB TRAIN RT BILLY Z-DBL JET WOLF GARBAGE CRACK,TRAIN,DBL JET-Z,LION OLY,WOLF-JAGUAR WALL,HITCH-X,P,C,11,10,Y
737,"23 10 TNMS D @ NCCR 11-11-2023, Play 026",26,TOUCHDOWN,6,1,10,-49,0,11,FIB DOUBLE LT OFF H-JET N. TEXAS Z-BREAKER,DOUBLE,JET-H,LION OLY,BEETLE-SPIDER,BREAKER-Z,P,DROP,11,88,N
738,"23 10 TNMS D @ NCCR 11-11-2023, Play 027",27,TOUCHDOWN,6,2,10,-49,3,21,THIEF LT BILLY Z-TOPGUN LEECH CUT X-STICK,THIEF,TOPGUN-Z,LION OLY,ROACH-LEECH CUT,STICK-X,P,C,11,88,N
739,"23 10 TNMS D @ NCCR 11-11-2023, Play 028",28,TOUCHDOWN,6,3,7,48,7,11,YAHTZEE TROLLY LT Y-STICK N. SNEAK,TROLLY,YAHTZEE,LION OLY,BEETLE-SPIDER,STICK-Y,P,C,11,21,Y
740,"23 10 TNMS D @ NCCR 11-11-2023, Play 029",29,TOUCHDOWN,6,1,10,41,5,11,BUMP Z-TANGO RT ROACH MAN CHOP,TANGO,AC-Y,LION OLY,ROACH-LEECH MAN,CHOP,R,C,11,88,Y
741,"23 10 TNMS D @ NCCR 11-11-2023, Play 030",30,TOUCHDOWN,6,2,5,36,9,12,FIB TAZER LT BILLY Z-JET S. TAXI,TAZER,JET-Z,LION OLY,TAXI,HITCH-X,R,C,11,38,Y
742,"23 10 TNMS D @ NCCR 11-11-2023, Play 031",31,TOUCHDOWN,6,1,10,27,4,12,YAC TRAIN RT BILLY BEETLE X-HITCH,TRAIN,AC-Y,LION OLY,BEETLE-SPIDER,HITCH-X,R,C,11,38,Y
743,"23 10 TNMS D @ NCCR 11-11-2023, Play 032",32,TOUCHDOWN,6,2,6,23,23,12,HOPPY DEUCE LT SLOT SPIDER CUT Y-POP GOAT,DEUCE,HOPPY,LION OLY,BEETLE-SPIDER CUT,HITCH-X,R,C,11,38,Y
744,"23 10 TNMS D @ NCCR 11-11-2023, Play 033",33,INTERCEPTION,7,0,10,-37,15,11,YAC TRAIN RT LOAD PIN SPROLES,TRAIN,AC-Y,LION OLY,BEETLE-SPIDER,PIN SPROLES,P,I,11,11,Y
745,"23 10 TNMS D @ NCCR 11-11-2023, Play 034",34,INTERCEPTION,7,1,10,48,4.900277008310249,11,TRAIN RT OFF JILL CHIP H-DRIVE SNAP,TRAIN,AC-Y,LION OLY,BEETLE-SPIDER,DRIVE-H,P,INT,11,18,N
746,"23 10 TNMS D @ NCCR 11-11-2023, Play 035",35,INTERCEPTION-TD,8,0,10,-22,23,12,TRIPS LT Z-TOPGUN SAME SPIDER X-STICK,TRIPS,TOPGUN-Z,LION OLY,BEETLE-SPIDER,STICK-X,R,C,11,38,Y
747,"23 10 TNMS D @ NCCR 11-11-2023, Play 036",36,INTERCEPTION-TD,8,1,10,-45,9,12,YAC FIB TRAIN RT BILLY N. TRUCK,TRAIN,AC-Y,LION OLY,TRUCK,HITCH-X,R,C,11,38,Y
748,"23 10 TNMS D @ NCCR 11-11-2023, Play 037",37,INTERCEPTION-TD,8,2,1,46,-10,12,HAC FLANK RT F-JACK HERO PUMP DRACO,FLANK,AC-H,LION OLY,BEETLE-SPIDER,HERO PUMP DRACO,P,SACK,11,11,N
749,"23 10 TNMS D @ NCCR 11-11-2023, Play 038",38,INTERCEPTION-TD,8,3,11,-44,17,11,YAHTZEE TROLLY LT JACK PIN BOOT,TROLLY,YAHTZEE,LION OLY,BEETLE-SPIDER,PIN BOOT,P,C,11,18,Y
750,"23 10 TNMS D @ NCCR 11-11-2023, Play 039",39,INTERCEPTION-TD,8,1,10,39,1,11,TRAIN RT BILLY BEETLE X-HITCH,TRAIN,AC-Y,LION OLY,BEETLE-SPIDER,HITCH-X,R,C,11,26,N
751,"23 10 TNMS D @ NCCR 11-11-2023, Play 040",40,INTERCEPTION-TD,8,2,9,38,4.900277008310249,11,TRAIN RT OFF FLY ROCK MISSY,TRAIN,AC-Y,LION OLY,BEETLE-SPIDER,HITCH-X,P,INT,11,18,N
752,"23 10 TNMS D @ NCCR 11-11-2023, Play 041",41,TOUCHDOWN,9,0,10,50,9,12,DEUCE LT SQUEEZE Z-TOPGUN LEECH,DEUCE,TOPGUN-Z,LION OLY,ROACH-LEECH,HITCH-X,R,C,11,84,Y
753,"23 10 TNMS D @ NCCR 11-11-2023, Play 042",42,TOUCHDOWN,9,2,1,41,9,12,FIB TRIPS RT BEETLE,TRIPS,AC-Y,LION OLY,BEETLE-SPIDER,HITCH-X,R,C,11,38,Y
754,"23 10 TNMS D @ NCCR 11-11-2023, Play 043",43,TOUCHDOWN,9,1,10,32,19,12,YAHOO TRAIN LT BILLY S. TRUCK,TRAIN,YAHOO,LION OLY,TRUCK,HITCH-X,R,C,11,38,Y
755,"23 10 TNMS D @ NCCR 11-11-2023, Play 044",44,TOUCHDOWN,9,1,10,13,10,12,FIB TAZER LT BILLY Z-JET S. TAXI RENO Y-SHALLOW,TAZER,JET-Z,LION OLY,BEETLE-SPIDER,SHALLOW-Y,P,C,11,18,Y
756,"23 10 TNMS D @ NCCR 11-11-2023, Play 045",45,TOUCHDOWN,9,1,3,3,1,12,DEUCE RT Z-JET ROACH SLICE,DEUCE,JET-Z,LION OLY,ROACH-LEECH SLICE,HITCH-X,R,C,11,38,N
757,"23 10 TNMS D @ NCCR 11-11-2023, Play 046",46,TOUCHDOWN,9,2,2,2,2,12,DOT RT SLOT Z-PLANE LEECH Z-SLICE,DOT,PLANE-Z,LION OLY,ROACH-LEECH SLICE,HITCH-X,R,C,11,38,Y
758,"23 10 TNMS D @ NCCR 11-11-2023, Play 047",47,DOWNS,10,0,10,-9,12,13-X,YAHTZEE TRAIN LT BILLY SPIDER X-HITCH,TRAIN,YAHTZEE,LION OLY,BEETLE-SPIDER,HITCH-X,P,C,11,3,Y
759,"23 10 TNMS D @ NCCR 11-11-2023, Play 048",48,DOWNS,10,1,10,-21,6,13-X,YAHTZEE TRAIN LT BILLY SPIDER X-HITCH,TRAIN,YAHTZEE,LION OLY,BEETLE-SPIDER,HITCH-X,R,C,11,38,Y
760,"23 10 TNMS D @ NCCR 11-11-2023, Play 049",49,DOWNS,10,2,4,-27,3,13-X,BUMP TRAIN LT BILLY SPIDER,TRAIN,AC-Y,LION OLY,BEETLE-SPIDER,HITCH-X,R,C,11,38,Y
761,"23 10 TNMS D @ NCCR 11-11-2023, Play 050",50,DOWNS,10,3,1,-30,0,21,FIRE SNEAKER,TRIX,YAHOO,LION OLY,SNEAKER,HITCH-X,R,C,11,11,N
762,"23 10 TNMS D @ NCCR 11-11-2023, Play 051",51,DOWNS,10,4,1,-30,0,12,HOPPY NINER SCUBA FRIDAY,DEUCE,HOPPY,LION OLY,SCUBA,HITCH-X,R,C,11,38,N
763,"23 10 TNMS D @ NCCR 11-11-2023, Play 052",52,TOUCHDOWN,11,0,10,-25,6,13-X,YAHTZEE TRAIN RT BILLY WIDE BEETLE,TRAIN,YAHTZEE,LION OLY,BEETLE-SPIDER,HITCH-X,R,C,11,38,Y
764,"23 10 TNMS D @ NCCR 11-11-2023, Play 053",53,TOUCHDOWN,11,2,4,-31,4,13-X,DOT LT SLOT Z-PLANE ROACH SLICE,DOT,PLANE-Z,LION OLY,ROACH-LEECH SLICE,HITCH-X,R,C,11,38,Y
765,"23 10 TNMS D @ NCCR 11-11-2023, Play 054",54,TOUCHDOWN,11,1,10,-35,34,13-X,YAC TRAIN RT BILLY N. TRUCK,TRAIN,AC-Y,LION OLY,TRUCK,HITCH-X,R,C,11,38,Y
766,"23 10 TNMS D @ NCCR 11-11-2023, Play 055",55,TOUCHDOWN,11,1,10,31,31,13-X,DOT RT Z-PLANE ROACH SLICE,DOT,PLANE-Z,LION OLY,ROACH-LEECH SLICE,HITCH-X,R,C,11,26,Y
767,"23 10 TNMS D @ NCCR 11-11-2023, Play 056",56,TOUCHDOWN,12,0,10,-35,10,13-X,YAHOO TRIPS LT OX SQUEEZE SPIDER X-STICK,TRIPS,YAHOO,LION OLY,BEETLE-SPIDER,STICK-X,R,C,11,38,Y
768,"23 10 TNMS D @ NCCR 11-11-2023, Play 057",57,TOUCHDOWN,12,1,10,-45,7,13-X,FLANK RT Z-PLANE BEETLE SLICE,FLANK,PLANE-Z,LION OLY,BEETLE-SPIDER SLICE,HITCH-X,R,C,11,38,Y
769,"23 10 TNMS D @ NCCR 11-11-2023, Play 058",58,TOUCHDOWN,12,2,3,48,45,13-X,DEUCE RT Z-PLANE BEETLE Y-CULDESAC,DEUCE,PLANE-Z,LION OLY,BEETLE-SPIDER,HITCH-X,P,C,11,18,Y
770,"23 10 TNMS D @ NCCR 11-11-2023, Play 059",59,TOUCHDOWN,12,1,3,3,3,13-X,YAHOO TRIPS LT OX SQUEEZE SPIDER X-STICK,TRIPS,YAHOO,LION OLY,BEETLE-SPIDER,STICK-X,R,C,11,38,Y
771,"23 10 TNMS D @ NCCR 11-11-2023, Play 060",60,PUNT,13,0,10,-25,4,13-X,YAHOO FIB TRAIN RT BILLY BEETLE,TRAIN,YAHOO,LION OLY,BEETLE-SPIDER,HITCH-X,R,C,11,38,Y
772,"23 10 TNMS D @ NCCR 11-11-2023, Play 061",61,PUNT,13,2,6,-29,5,13-X,DOT RT SLOT Z-PLANE LEECH Z-SLICE,DOT,PLANE-Z,LION OLY,ROACH-LEECH SLICE,HITCH-X,R,C,11,38,Y
773,"23 10 TNMS D @ NCCR 11-11-2023, Play 062",62,PUNT,13,3,1,-34,-2,13-X,FLANK LT SQUEEZE X-JET LEECH H-STREET Z-CRACK,FLANK,JET-X,LION OLY,ROACH-LEECH,HITCH-X,R,C,11,11,N
774,"23 10 TNMS D @ NCCR 11-11-2023, Play 063",63,INTERCEPTION,14,0,10,47,5,12,DOS LT F-JILL COAT X-DANGLE,DOS,AC-Y,LION OLY,BEETLE-SPIDER,DANGLE-X,P,C,11,18,Y
775,"23 10 TNMS D @ NCCR 11-11-2023, Play 064",64,INTERCEPTION,14,2,5,42,-8,12,DOS LT F-JILL Z-DRIVE COAT,DOS,AC-Y,LION OLY,BEETLE-SPIDER,DRIVE-Z COAT,P,SACK,11,11,N
776,"23 10 TNMS D @ NCCR 11-11-2023, Play 065",65,INTERCEPTION,14,3,13,50,4.900277008310249,12,YAHTZEE TROLLY RT JILL PIN BOOT,TROLLY,YAHTZEE,LION OLY,BEETLE-SPIDER,PIN BOOT,P,INT,11,86,N
777,"23 10 TNMS D @ NCCR 11-11-2023, Play 066",66,MISSED FG,15,0,10,25,4,13-X,YAHOO TRIPS LT OX SQUEEZE SPIDER X-STICK,TRIPS,YAHOO,LION OLY,BEETLE-SPIDER,STICK-X,R,C,11,38,Y
778,"23 10 TNMS D @ NCCR 11-11-2023, Play 067",67,MISSED FG,15,2,6,21,2,13-X,TRAIN LT BILLY OX SPIDER,TRAIN,AC-Y,LION OLY,BEETLE-SPIDER,HITCH-X,R,C,11,38,N
779,"23 10 TNMS D @ NCCR 11-11-2023, Play 068",68,MISSED FG,15,3,4,19,0,12,TRIPS LT CLASSY JACK STAY X-MESH,TRIPS,AC-Y,LION OLY,BEETLE-SPIDER,MESH-X,P,I,11,3,N
